시도,시군구,읍면동,상세주소,특수지명,블록,로트,건물명,동명,통계용도,대지면적(㎡),건축면적(㎡),연면적(㎡),지하층수(층),지상층수(층),허가일자,착공일자,사용승인일자,동용도
부산광역시,기장군,장안읍 기룡리,789-1,,,,,,주거용 > 단독주택 > 단독주택,436,98.92,98.92,0,1,1992-01-13,,1993-09-13,단독주택
부산광역시,기장군,일광면 원리,520,,,,,,주거용 > 단독주택 > 단독주택,486,54.72,54.72,0,1,1991-09-04,1992-05-10,1992-08-06,단독주택
부산광역시,기장군,기장읍 연화리,126-3,,,,,,주거용 > 단독주택 > 단독주택,103.82,49.91,83.11,0,2,1993-05-14,1993-05-17,1993-12-09,단독주택
부산광역시,기장군,기장읍 죽성리,169,,,,,,주거용 > 단독주택 > 단독주택,237.39,90.02,90.02,0,1,2001-11-24,2001-11-27,2002-01-28,단독주택
부산광역시,기장군,기장읍 시랑리,68-2,,,,,,주거용 > 단독주택 > 단독주택,319,108.45,124.95,1,1,1988-04-14,,1988-12-10,단독주택
부산광역시,기장군,장안읍 길천리,255-1,,,,,,주거용 > 단독주택 > 다가구주택,0,95.66,91.86,0,1,1995-11-13,1995-11-30,1996-09-09,단독주택
부산광역시,기장군,장안읍 오리,557,,,,,,주거용 > 단독주택 > 단독주택,0,33.6,33.6,0,1,,,1945,단독주택
부산광역시,기장군,장안읍 오리,557,,,,,,주거용 > 단독주택 > 단독주택,0,33.3,33.3,0,1,,,1945,단독주택
부산광역시,기장군,일광면 학리,109,,,,,,주거용 > 단독주택 > 단독주택,0,54,54,0,1,1991-05-27,,1992-02-21,단독주택
부산광역시,기장군,철마면 안평리,223-2,,,,,,주거용 > 단독주택 > 단독주택,716,126,126,0,1,,,1981-11-24,단독주택
부산광역시,기장군,기장읍 내리,207-3,,,,,,주거용 > 단독주택 > 단독주택,0,71.64,114.84,0,2,1991-03-13,,1992-04-06,단독주택
부산광역시,기장군,철마면 장전리,375-2,,,,,,주거용 > 단독주택 > 단독주택,0,156.42,156.42,0,1,,,1951,단독주택
부산광역시,기장군,기장읍 대라리,96-10,,,,,,주거용 > 단독주택 > 단독주택,0,97.1,97.1,0,1,,,1968,단독주택
부산광역시,기장군,정관읍 병산리,293,,,,,,주거용 > 단독주택 > 단독주택,0,60.18,60.18,0,1,,,,단독주택
부산광역시,기장군,일광면 동백리,160-1,,,,,,주거용 > 단독주택 > 단독주택,0,36.73,36.73,0,1,,,1968-07-10,단독주택
부산광역시,기장군,일광면 동백리,165,,,,,,주거용 > 단독주택 > 단독주택,0,51.87,51.87,0,1,,,1977-05-06,단독주택
부산광역시,기장군,일광면 동백리,178,,,,,,주거용 > 단독주택 > 단독주택,237,65.34,65.34,0,1,,,1960,단독주택
부산광역시,기장군,일광면 동백리,193-1,,,,,,주거용 > 단독주택 > 단독주택,0,112.56,156.5,0,2,1992-07-07,1991-12-19,1992-09-09,단독주택
부산광역시,기장군,일광면 동백리,203-3,,,,,,주거용 > 단독주택 > 단독주택,0,123.95,123.95,0,1,,,1969,단독주택
부산광역시,기장군,일광면 동백리,203-4,,,,,,주거용 > 단독주택 > 단독주택,268,102.62,102.62,0,1,1995-11-01,1995-11-02,1996-04-15,단독주택
부산광역시,기장군,일광면 동백리,205-2,,,,,,주거용 > 단독주택 > 단독주택,0,66.24,66.24,0,1,1993-03-22,,1993-07-02,단독주택
부산광역시,기장군,일광면 동백리,209,,,,,,주거용 > 단독주택 > 단독주택,294,118.53,112.33,0,1,1996-09-24,199610,1997-01-08,단독주택
부산광역시,기장군,일광면 동백리,210,,,,,,주거용 > 단독주택 > 단독주택,0,109.55,132.95,0,2,,,1957-05-20,단독주택
부산광역시,기장군,일광면 동백리,213-5,,,,,,주거용 > 단독주택 > 단독주택,0,76.27,76.27,0,1,,,1977-06-30,단독주택
부산광역시,기장군,일광면 횡계리,236,,,,,제2동,주거용 > 단독주택 > 단독주택,0,65.42,102.84,0,2,1990-03-24,,1990-09-06,단독주택
부산광역시,기장군,일광면 동백리,213-9,,,,,,주거용 > 단독주택 > 단독주택,317,120.36,120.36,0,1,1989-11-17,1990-03-10,1990-10-24,단독주택
부산광역시,기장군,철마면 송정리,333,,,,,,주거용 > 단독주택 > 단독주택,0,118.3,118.3,0,1,,,,단독주택
부산광역시,기장군,장안읍 좌천리,162-1,,,,,,주거용 > 단독주택 > 단독주택,0,0,60.34,0,1,,,1943,단독주택
부산광역시,기장군,일광면 학리,265-3,,,,,,주거용 > 단독주택 > 단독주택,231,87.95,87.95,0,1,1996-07-30,,1996-11-01,단독주택
부산광역시,기장군,일광면 학리,265-4,,,,,,주거용 > 단독주택 > 단독주택,234,91.95,91.95,0,1,1996-07-30,,1996-11-01,단독주택
부산광역시,기장군,일광면 문동리,133-1,,,,,,주거용 > 단독주택 > 단독주택,0,66.88,66.88,0,1,,,1965,단독주택
부산광역시,기장군,장안읍 용소리,513,,,,,,주거용 > 단독주택 > 단독주택,545,108,108,0,1,2000-11-01,2000-12-15,2000-12-30,단독주택
부산광역시,기장군,일광면 용천리,707,,,,,,주거용 > 단독주택 > 단독주택,0,0,41.26,0,1,,,1941-04-06,단독주택
부산광역시,기장군,일광면 동백리,214-11,,,,,,주거용 > 단독주택 > 단독주택,357,107.41,146.02,0,2,1989-08-18,1989-09-07,1994-09-30,단독주택
부산광역시,기장군,장안읍 좌천리,270,,,,,,주거용 > 단독주택 > 단독주택,0,83.87,83.87,0,1,1982-05-10,,1982-11-05,단독주택
부산광역시,기장군,철마면 와여리,334,,,,,1동,주거용 > 단독주택 > 단독주택,831,98.8,138.8,0,1,,,1954,단독주택
부산광역시,기장군,기장읍 동부리,252-2,,,,,,주거용 > 단독주택 > 단독주택,0,0,28.13,0,1,,,1941,단독주택
부산광역시,기장군,기장읍 대라리,408-9,,,,,,주거용 > 단독주택 > 단독주택,148,113.41,220.58,0,2,1996-10-23,1996-10-31,1997-01-29,단독주택
부산광역시,기장군,기장읍 동부리,182-4,,,,,,주거용 > 단독주택 > 단독주택,95.65,54.38,54.38,0,1,1991-03-19,1991-09-15,1991-11-07,단독주택
부산광역시,기장군,일광면 원리,580-1,,,,,,주거용 > 단독주택 > 단독주택,481.31,130.09,99.18,0,1,2000-05-22,2000-05-23,2000-08-19,단독주택
부산광역시,기장군,기장읍 청강리,333,,,,청강주공아파트,201동,주거용 > 공동주택 > 아파트,0,364.32,2353.97,0,5,1989-05-01,,1990-10-08,공동주택
부산광역시,기장군,일광면 동백리,217,,,,,,주거용 > 단독주택 > 단독주택,0,64.79,64.79,0,1,,,197705,단독주택
